Interarrival; Server Organization 1; Server Organization 2; Server Organization 3;
K-Erlang; 1.002587; 0.249027; 0.249018;
Exponential; 1.002587; 0.249027; 0.249018;
Pareto (2.15); 1.002587; 0.249027; 0.249018;
Pareto (2.10); 1.002587; 0.249027; 0.249018;
Pareto (2.05); 1.002587; 0.249027; 0.249018;
Response Time; Server Organization 1; Server Organization 2; Server Organization 3;
K-Erlang; 1.533817; 0.801702; 0.392046;
Exponential; 1.949862; 0.859781; 0.507234;
Pareto (2.15); 2.257082; 0.826235; 0.548341;
Pareto (2.10); 2.384688; 0.831534; 0.576260;
Pareto (2.05); 2.541374; 0.837488; 0.610611;
Queue Delay; Server Organization 1; Server Organization 2; Server Organization 3;
K-Erlang; 0.867774; 0.133224; 0.224927;
Exponential; 1.284282; 0.192470; 0.340406;
Pareto (2.15); 1.590504; 0.162453; 0.382395;
Pareto (2.10); 1.718138; 0.168083; 0.410397;
Pareto (2.05); 1.874867; 0.174422; 0.444844;
Service Time; Server Organization 1; Server Organization 2; Server Organization 3;
K-Erlang; 0.666043; 0.668477; 0.167119;
Exponential; 0.665580; 0.667311; 0.166828;
Pareto (2.15); 0.666578; 0.663781; 0.165945;
Pareto (2.10); 0.666549; 0.663450; 0.165863;
Pareto (2.05); 0.666507; 0.663066; 0.165766;
Node Jobs; Server Organization 1; Server Organization 2; Server Organization 3;
K-Erlang; 1.529805; 3.219304; 1.574349;
Exponential; 1.944677; 3.452590; 2.036922;
Pareto (2.15); 2.251137; 3.317882; 2.201996;
Pareto (2.10); 2.378406; 3.339163; 2.314112;
Pareto (2.05); 2.534679; 3.363074; 2.452057;
Queue Jobs; Server Organization 1; Server Organization 2; Server Organization 3;
K-Erlang; 0.865504; 0.534975; 0.903244;
Exponential; 1.280867; 0.772896; 1.366984;
Pareto (2.15); 1.586315; 0.652357; 1.535602;
Pareto (2.10); 1.713613; 0.674967; 1.648050;
Pareto (2.05); 1.869927; 0.700423; 1.786381;
Utilizzation; Server Organization 1; Server Organization 2; Server Organization 3;
K-Erlang; 0.664301; 0.671082; 0.671105;
Exponential; 0.663811; 0.669924; 0.669937;
Pareto (2.15); 0.664822; 0.666381; 0.666394;
Pareto (2.10); 0.664794; 0.666049; 0.666062;
Pareto (2.05); 0.664751; 0.665663; 0.665676;
